商談ID,顧客企業名,商談発生日,クローズ日,最終活動日,業種,製品,商談区分,リード獲得元,エリア,企業規模,ステージ番号,ステージ,ステータス番号,ステータス,受注確度,失注理由,営業チーム,営業担当,金額,商談名,次のアクション
OPP-202409-00125,富士見物産,2024-09-23,2025-03-22,2024-10-06,金融,クラウド経費,新規,インバウンド,関東,中堅,6,クロージング,2,受注,100,,第一営業部,中村,4420000,富士見物産 クラウド経費導入,
OPP-202409-00126,山田製作所,2024-09-17,2025-01-29,2025-01-17,製造,スマート勤怠,既存深耕,Web,関東,中小,6,クロージング,3,失注,0,競合,西日本営業部,山本,810000,山田製作所 スマート勤怠導入,
OPP-202409-00127,大和精密,2024-09-25,2025-02-08,2024-11-10,金融,統合ダッシュボード,新規,Web,関西,中小,6,クロージング,3,失注,0,要件不一致,西日本営業部,山本,390000,大和精密 統合ダッシュボード導入,
OPP-202409-00128,北斗フーズ,2024-09-27,2025-01-07,2024-12-19,IT,統合ダッシュボード,更新,インバウンド,関東,中堅,6,クロージング,2,受注,100,,第一営業部,小林,3780000,北斗フーズ 統合ダッシュボード導入,
OPP-202409-00129,湊エレクトロニクス,2024-09-17,2025-01-11,2024-11-29,流通,スマート勤怠,新規,展示会,関西,大企業,6,クロージング,3,失注,0,時期,第一営業部,加藤,4970000,湊エレクトロニクス スマート勤怠導入,
OPP-202409-00130,青葉システムズ,2024-09-06,2024-10-07,2024-09-14,IT,クラウド経費,新規,Web,関東,大企業,6,クロージング,2,受注,100,,第一営業部,中村,7570000,青葉システムズ クラウド経費導入,
OPP-202409-00131,大和精密,2024-09-25,2025-02-05,2024-12-14,金融,クラウド経費,新規,紹介,関東,中堅,6,クロージング,3,失注,0,時期,第一営業部,中村,4270000,大和精密 クラウド経費導入,
OPP-202409-00132,曙建設,2024-09-30,2025-03-16,2024-11-25,製造,統合ダッシュボード,既存深耕,Web,九州,中堅,6,クロージング,3,失注,0,予算,西日本営業部,松本,4480000,曙建設 統合ダッシュボード導入,
OPP-202409-00133,みなと商事,2024-09-25,2025-03-20,2024-11-07,流通,クラウド経費,新規,インバウンド,関東,中小,6,クロージング,2,受注,100,,西日本営業部,山本,1130000,みなと商事 クラウド経費導入,
OPP-202409-00134,つばさ運輸,2024-09-17,2024-10-31,2024-10-31,公共,クラウド経費,更新,紹介,関東,大企業,6,クロージング,2,受注,100,,第一営業部,加藤,11260000,つばさ運輸 クラウド経費導入,
OPP-202409-00135,大和精密,2024-09-10,2025-02-07,2024-12-24,IT,クラウド経費,既存深耕,展示会,関東,大企業,6,クロージング,2,受注,100,,西日本営業部,山本,4840000,大和精密 クラウド経費導入,
OPP-202409-00136,青葉システムズ,2024-09-25,2025-01-22,2024-12-03,流通,統合ダッシュボード,既存深耕,インバウンド,関東,大企業,6,クロージング,2,受注,100,,西日本営業部,山本,7020000,青葉システムズ 統合ダッシュボード導入,
OPP-202409-00137,山田製作所,2024-09-17,2025-01-13,2024-10-12,公共,統合ダッシュボード,既存深耕,Web,関東,中堅,6,クロージング,2,受注,100,,第一営業部,小林,4710000,山田製作所 統合ダッシュボード導入,
OPP-202409-00138,青葉システムズ,2024-09-25,2024-11-06,2024-09-28,金融,統合ダッシュボード,更新,展示会,関東,中堅,6,クロージング,2,受注,100,,第一営業部,加藤,3050000,青葉システムズ 統合ダッシュボード導入,
OPP-202409-00139,山田製作所,2024-09-18,2024-12-17,2024-10-07,製造,統合ダッシュボード,新規,インバウンド,関西,中堅,6,クロージング,2,受注,100,,西日本営業部,松本,4380000,山田製作所 統合ダッシュボード導入,
OPP-202409-00140,大和精密,2024-09-17,2025-01-22,2024-10-28,製造,統合ダッシュボード,更新,インバウンド,関西,中堅,6,クロージング,3,失注,0,時期,第一営業部,小林,3090000,大和精密 統合ダッシュボード導入,
OPP-202409-00141,湊エレクトロニクス,2024-09-05,2025-02-24,2024-12-14,流通,統合ダッシュボード,新規,Web,中部,中小,6,クロージング,2,受注,100,,第一営業部,小林,920000,湊エレクトロニクス 統合ダッシュボード導入,
OPP-202410-00142,みなと商事,2024-10-09,2024-11-26,2024-11-16,IT,統合ダッシュボード,新規,Web,関東,大企業,6,クロージング,2,受注,100,,西日本営業部,山本,10410000,みなと商事 統合ダッシュボード導入,
OPP-202410-00143,つばさ運輸,2024-10-22,2025-01-22,2025-01-21,IT,スマート勤怠,更新,展示会,九州,中小,6,クロージング,3,失注,0,価格,第一営業部,小林,910000,つばさ運輸 スマート勤怠導入,
OPP-202410-00144,青葉システムズ,2024-10-18,2025-02-06,2024-12-05,流通,クラウド経費,新規,紹介,中部,中堅,6,クロージング,3,失注,0,価格,西日本営業部,松本,1230000,青葉システムズ クラウド経費導入,
OPP-202410-00145,山田製作所,2024-10-28,2025-04-03,2025-01-23,製造,統合ダッシュボード,既存深耕,紹介,関東,中堅,6,クロージング,2,受注,100,,第一営業部,中村,2310000,山田製作所 統合ダッシュボード導入,
OPP-202410-00146,富士見物産,2024-10-25,2025-04-07,2024-11-14,流通,クラウド経費,新規,展示会,関西,大企業,6,クロージング,2,受注,100,,西日本営業部,山本,11370000,富士見物産 クラウド経費導入,
OPP-202410-00147,青葉システムズ,2024-10-22,2025-03-24,2024-10-27,製造,クラウド経費,新規,展示会,関東,中堅,6,クロージング,3,失注,0,価格,第一営業部,加藤,3820000,青葉システムズ クラウド経費導入,
OPP-202410-00148,大和精密,2024-10-14,2025-03-27,2024-12-03,金融,スマート勤怠,既存深耕,Web,関東,中小,6,クロージング,2,受注,100,,第一営業部,中村,1880000,大和精密 スマート勤怠導入,
OPP-202410-00149,大和精密,2024-10-17,2024-11-24,2024-11-11,公共,スマート勤怠,更新,Web,関東,中堅,6,クロージング,2,受注,100,,第一営業部,中村,2930000,大和精密 スマート勤怠導入,
OPP-202410-00150,山田製作所,2024-10-18,2025-01-14,2024-12-30,公共,スマート勤怠,更新,Web,関東,中小,6,クロージング,2,受注,100,,西日本営業部,山本,1510000,山田製作所 スマート勤怠導入,
OPP-202410-00151,大和精密,2024-10-09,2025-02-17,2024-12-25,IT,クラウド経費,新規,インバウンド,関東,中小,6,クロージング,3,失注,0,価格,第一営業部,加藤,910000,大和精密 クラウド経費導入,
OPP-202410-00152,湊エレクトロニクス,2024-10-28,2024-12-22,2024-12-21,製造,クラウド経費,新規,インバウンド,関西,中堅,6,クロージング,2,受注,100,,西日本営業部,山本,1380000,湊エレクトロニクス クラウド経費導入,
OPP-202410-00153,曙建設,2024-10-11,2025-02-28,2025-01-17,流通,クラウド経費,新規,紹介,九州,中堅,6,クロージング,2,受注,100,,第一営業部,小林,1430000,曙建設 クラウド経費導入,
OPP-202410-00154,つばさ運輸,2024-10-25,2024-12-17,2024-11-14,公共,スマート勤怠,新規,Web,関西,中小,6,クロージング,2,受注,100,,第一営業部,中村,1430000,つばさ運輸 スマート勤怠導入,
OPP-202410-00155,みなと商事,2024-10-25,2025-02-15,2024-10-27,製造,スマート勤怠,既存深耕,紹介,関東,中堅,6,クロージング,3,失注,0,価格,第一営業部,加藤,2980000,みなと商事 スマート勤怠導入,
OPP-202410-00156,湊エレクトロニクス,2024-10-25,2024-12-31,2024-12-20,IT,統合ダッシュボード,既存深耕,展示会,関東,大企業,6,クロージング,2,受注,100,,第一営業部,小林,5820000,湊エレクトロニクス 統合ダッシュボード導入,
OPP-202410-00157,みなと商事,2024-10-14,2025-02-22,2025-01-20,流通,統合ダッシュボード,既存深耕,Web,関西,中堅,6,クロージング,2,受注,100,,第一営業部,中村,2680000,みなと商事 統合ダッシュボード導入,
OPP-202410-00158,曙建設,2024-10-15,2025-03-19,2024-12-17,製造,スマート勤怠,更新,展示会,関東,中小,6,クロージング,3,失注,0,価格,西日本営業部,松本,1010000,曙建設 スマート勤怠導入,
OPP-202410-00159,曙建設,2024-10-04,2024-11-20,2024-10-31,IT,スマート勤怠,更新,展示会,関西,中小,6,クロージング,3,失注,0,時期,第一営業部,小林,650000,曙建設 スマート勤怠導入,
OPP-202410-00160,北斗フーズ,2024-10-21,2025-03-07,2025-01-22,公共,クラウド経費,新規,インバウンド,関西,中堅,6,クロージング,2,受注,100,,第一営業部,加藤,4590000,北斗フーズ クラウド経費導入,
OPP-202410-00161,みなと商事,2024-10-29,2025-02-20,2024-12-24,製造,スマート勤怠,既存深耕,展示会,関西,中堅,6,クロージング,3,失注,0,価格,西日本営業部,松本,1500000,みなと商事 スマート勤怠導入,
OPP-202410-00162,湊エレクトロニクス,2024-10-09,2025-02-04,2024-12-10,金融,クラウド経費,新規,紹介,関西,中堅,6,クロージング,3,失注,0,価格,西日本営業部,山本,3120000,湊エレクトロニクス クラウド経費導入,
OPP-202410-00163,北斗フーズ,2024-10-30,2025-02-18,2024-11-05,流通,スマート勤怠,更新,Web,関東,大企業,6,クロージング,2,受注,100,,西日本営業部,松本,11290000,北斗フーズ スマート勤怠導入,
OPP-202410-00164,さくらケミカル,2024-10-23,2025-03-11,2024-12-22,金融,クラウド経費,新規,インバウンド,関東,大企業,6,クロージング,3,失注,0,予算,第一営業部,加藤,9440000,さくらケミカル クラウド経費導入,
OPP-202410-00165,山田製作所,2024-10-21,2024-12-06,2024-11-25,公共,統合ダッシュボード,既存深耕,紹介,関東,大企業,6,クロージング,2,受注,100,,第一営業部,加藤,4910000,山田製作所 統合ダッシュボード導入,
OPP-202410-00166,大和精密,2024-10-11,2025-03-07,2024-12-27,公共,クラウド経費,更新,紹介,関東,中堅,6,クロージング,3,失注,0,要件不一致,第一営業部,小林,4020000,大和精密 クラウド経費導入,
OPP-202410-00167,みなと商事,2024-10-03,2024-12-19,2024-12-11,製造,スマート勤怠,既存深耕,展示会,関東,中堅,6,クロージング,2,受注,100,,第一営業部,小林,4550000,みなと商事 スマート勤怠導入,
OPP-202410-00168,湊エレクトロニクス,2024-10-30,2025-01-02,2024-12-19,製造,スマート勤怠,新規,インバウンド,関西,中小,6,クロージング,2,受注,100,,西日本営業部,松本,1730000,湊エレクトロニクス スマート勤怠導入,
OPP-202410-00169,富士見物産,2024-10-17,2025-01-12,2024-11-08,流通,統合ダッシュボード,既存深耕,展示会,関東,中小,6,クロージング,2,受注,100,,第一営業部,小林,1470000,富士見物産 統合ダッシュボード導入,
OPP-202410-00170,湊エレクトロニクス,2024-10-24,2025-04-11,2025-02-10,流通,クラウド経費,新規,Web,九州,中堅,6,クロージング,2,受注,100,,西日本営業部,松本,1520000,湊エレクトロニクス クラウド経費導入,
OPP-202410-00171,つばさ運輸,2024-10-24,2025-01-15,2025-01-08,製造,統合ダッシュボード,既存深耕,紹介,中部,中堅,6,クロージング,3,失注,0,時期,西日本営業部,山本,4630000,つばさ運輸 統合ダッシュボード導入,
OPP-202411-00172,曙建設,2024-11-20,2025-03-04,2024-12-25,製造,スマート勤怠,新規,展示会,関東,大企業,6,クロージング,2,受注,100,,第一営業部,小林,11780000,曙建設 スマート勤怠導入,
OPP-202411-00173,北斗フーズ,2024-11-29,2025-02-04,2024-12-31,IT,クラウド経費,更新,インバウンド,中部,大企業,6,クロージング,3,失注,0,予算,西日本営業部,山本,9920000,北斗フーズ クラウド経費導入,
OPP-202411-00174,大和精密,2024-11-13,2025-04-08,2025-02-05,金融,スマート勤怠,新規,Web,中部,中堅,6,クロージング,3,失注,0,競合,西日本営業部,松本,4960000,大和精密 スマート勤怠導入,
OPP-202411-00175,富士見物産,2024-11-28,2025-03-06,2025-01-04,金融,クラウド経費,更新,Web,関東,中小,6,クロージング,2,受注,100,,西日本営業部,松本,1160000,富士見物産 クラウド経費導入,
OPP-202411-00176,富士見物産,2024-11-18,2025-04-09,2025-03-08,公共,統合ダッシュボード,更新,展示会,関西,中小,6,クロージング,2,受注,100,,第一営業部,中村,810000,富士見物産 統合ダッシュボード導入,
OPP-202411-00177,北斗フーズ,2024-11-05,2025-03-16,2025-01-04,IT,統合ダッシュボード,新規,紹介,関東,中堅,6,クロージング,3,失注,0,競合,西日本営業部,山本,1460000,北斗フーズ 統合ダッシュボード導入,
OPP-202411-00178,みなと商事,2024-11-04,2025-01-06,2024-11-19,製造,スマート勤怠,既存深耕,展示会,関西,中小,6,クロージング,2,受注,100,,西日本営業部,松本,1280000,みなと商事 スマート勤怠導入,
OPP-202411-00179,さくらケミカル,2024-11-26,2025-05-19,2025-05-12,IT,スマート勤怠,更新,Web,関東,中小,6,クロージング,2,受注,100,,第一営業部,加藤,720000,さくらケミカル スマート勤怠導入,
OPP-202411-00180,北斗フーズ,2024-11-15,2025-03-23,2025-03-05,IT,クラウド経費,既存深耕,展示会,中部,大企業,6,クロージング,2,受注,100,,第一営業部,加藤,6220000,北斗フーズ クラウド経費導入,
OPP-202411-00181,みなと商事,2024-11-26,2025-02-16,2025-01-31,製造,クラウド経費,既存深耕,紹介,九州,大企業,6,クロージング,2,受注,100,,西日本営業部,松本,4930000,みなと商事 クラウド経費導入,
OPP-202411-00182,つばさ運輸,2024-11-13,2025-01-15,2025-01-06,流通,スマート勤怠,既存深耕,Web,関西,中小,6,クロージング,2,受注,100,,西日本営業部,松本,1750000,つばさ運輸 スマート勤怠導入,
OPP-202411-00183,北斗フーズ,2024-11-14,2025-03-25,2025-03-23,公共,統合ダッシュボード,更新,展示会,関東,大企業,6,クロージング,2,受注,100,,第一営業部,中村,10850000,北斗フーズ 統合ダッシュボード導入,
OPP-202411-00184,みなと商事,2024-11-14,2025-04-30,2025-04-14,金融,クラウド経費,新規,展示会,関東,中小,6,クロージング,2,受注,100,,西日本営業部,山本,1920000,みなと商事 クラウド経費導入,
OPP-202411-00185,みなと商事,2024-11-25,2025-01-08,2025-01-07,製造,スマート勤怠,更新,展示会,関東,中小,6,クロージング,2,受注,100,,第一営業部,加藤,740000,みなと商事 スマート勤怠導入,
OPP-202411-00186,山田製作所,2024-11-04,2025-01-03,2024-11-06,製造,統合ダッシュボード,既存深耕,Web,関西,大企業,6,クロージング,3,失注,0,競合,第一営業部,小林,7390000,山田製作所 統合ダッシュボード導入,
OPP-202411-00187,富士見物産,2024-11-19,2025-02-15,2024-11-20,流通,スマート勤怠,更新,展示会,関東,中小,6,クロージング,3,失注,0,価格,西日本営業部,山本,330000,富士見物産 スマート勤怠導入,
OPP-202411-00188,青葉システムズ,2024-11-08,2025-02-28,2025-02-09,IT,スマート勤怠,更新,展示会,中部,中小,6,クロージング,2,受注,100,,西日本営業部,山本,1110000,青葉システムズ スマート勤怠導入,
OPP-202411-00189,みなと商事,2024-11-27,2025-03-09,2025-01-06,流通,統合ダッシュボード,新規,Web,九州,中小,6,クロージング,3,失注,0,価格,第一営業部,小林,1710000,みなと商事 統合ダッシュボード導入,
OPP-202411-00190,大和精密,2024-11-15,2025-05-03,2025-01-17,金融,スマート勤怠,既存深耕,Web,関西,中堅,6,クロージング,3,失注,0,価格,西日本営業部,山本,3090000,大和精密 スマート勤怠導入,
OPP-202411-00191,山田製作所,2024-11-01,2025-03-18,2024-11-17,IT,スマート勤怠,既存深耕,インバウンド,関西,大企業,6,クロージング,2,受注,100,,第一営業部,中村,4450000,山田製作所 スマート勤怠導入,
OPP-202411-00192,青葉システムズ,2024-11-08,2025-05-02,2025-04-27,公共,スマート勤怠,更新,展示会,関東,大企業,6,クロージング,2,受注,100,,西日本営業部,山本,4330000,青葉システムズ スマート勤怠導入,
OPP-202411-00193,さくらケミカル,2024-11-08,2025-05-06,2024-12-06,IT,スマート勤怠,更新,紹介,関東,大企業,6,クロージング,2,受注,100,,西日本営業部,山本,4680000,さくらケミカル スマート勤怠導入,
OPP-202411-00194,みなと商事,2024-11-15,2025-03-02,2025-02-13,金融,統合ダッシュボード,新規,紹介,関東,大企業,6,クロージング,3,失注,0,時期,第一営業部,加藤,5200000,みなと商事 統合ダッシュボード導入,
OPP-202412-00195,みなと商事,2024-12-27,2025-05-21,2025-05-17,公共,統合ダッシュボード,既存深耕,展示会,関東,中小,6,クロージング,2,受注,100,,第一営業部,小林,930000,みなと商事 統合ダッシュボード導入,
OPP-202412-00196,北斗フーズ,2024-12-04,2025-06-01,2024-12-24,製造,スマート勤怠,更新,展示会,関東,中堅,6,クロージング,2,受注,100,,西日本営業部,山本,1110000,北斗フーズ スマート勤怠導入,
OPP-202412-00197,富士見物産,2024-12-03,2025-04-22,2025-03-15,IT,スマート勤怠,更新,Web,関東,中小,6,クロージング,3,失注,0,競合,第一営業部,加藤,1270000,富士見物産 スマート勤怠導入,
OPP-202412-00198,北斗フーズ,2024-12-06,2025-05-07,2025-02-16,製造,スマート勤怠,新規,Web,関西,中堅,6,クロージング,2,受注,100,,第一営業部,加藤,2960000,北斗フーズ スマート勤怠導入,
OPP-202412-00199,湊エレクトロニクス,2024-12-05,2025-04-02,2025-02-08,製造,統合ダッシュボード,既存深耕,展示会,関東,中小,6,クロージング,3,失注,0,価格,第一営業部,小林,990000,湊エレクトロニクス 統合ダッシュボード導入,
OPP-202412-00200,つばさ運輸,2024-12-06,2025-02-14,2025-01-06,製造,クラウド経費,新規,Web,関西,中堅,6,クロージング,2,受注,100,,第一営業部,中村,2360000,つばさ運輸 クラウド経費導入,
OPP-202412-00201,山田製作所,2024-12-18,2025-03-03,2025-01-28,公共,統合ダッシュボード,既存深耕,インバウンド,関東,中小,6,クロージング,2,受注,100,,西日本営業部,山本,1210000,山田製作所 統合ダッシュボード導入,
OPP-202412-00202,さくらケミカル,2024-12-30,2025-03-14,2025-01-11,IT,クラウド経費,既存深耕,展示会,九州,中小,6,クロージング,2,受注,100,,第一営業部,小林,440000,さくらケミカル クラウド経費導入,
OPP-202412-00203,富士見物産,2024-12-20,2025-02-03,2025-01-27,製造,統合ダッシュボード,新規,展示会,関西,中小,6,クロージング,2,受注,100,,西日本営業部,松本,660000,富士見物産 統合ダッシュボード導入,
OPP-202412-00204,さくらケミカル,2024-12-25,2025-05-15,2025-04-29,IT,スマート勤怠,更新,紹介,関東,中堅,6,クロージング,3,失注,0,時期,第一営業部,中村,1890000,さくらケミカル スマート勤怠導入,
OPP-202412-00205,曙建設,2024-12-23,2025-01-22,2025-01-11,公共,スマート勤怠,既存深耕,展示会,関東,中堅,6,クロージング,3,失注,0,競合,第一営業部,加藤,4940000,曙建設 スマート勤怠導入,
OPP-202412-00206,曙建設,2024-12-31,2025-03-31,2025-02-10,製造,クラウド経費,既存深耕,Web,関東,中堅,6,クロージング,2,受注,100,,第一営業部,中村,1850000,曙建設 クラウド経費導入,
OPP-202412-00207,さくらケミカル,2024-12-31,2025-05-22,2025-02-12,流通,スマート勤怠,新規,展示会,関東,大企業,6,クロージング,3,失注,0,予算,第一営業部,小林,8040000,さくらケミカル スマート勤怠導入,
OPP-202412-00208,みなと商事,2024-12-13,2025-03-28,2025-01-16,IT,クラウド経費,既存深耕,Web,関東,中堅,6,クロージング,2,受注,100,,西日本営業部,山本,1530000,みなと商事 クラウド経費導入,
OPP-202412-00209,青葉システムズ,2024-12-03,2025-04-22,2025-01-15,製造,スマート勤怠,更新,インバウンド,関東,中小,6,クロージング,3,失注,0,時期,西日本営業部,山本,1410000,青葉システムズ スマート勤怠導入,
OPP-202412-00210,つばさ運輸,2024-12-06,2025-01-17,2025-01-11,IT,スマート勤怠,既存深耕,インバウンド,関西,中堅,6,クロージング,2,受注,100,,第一営業部,中村,3510000,つばさ運輸 スマート勤怠導入,
OPP-202412-00211,青葉システムズ,2024-12-05,2025-05-05,2025-02-22,製造,統合ダッシュボード,既存深耕,Web,関東,大企業,6,クロージング,3,失注,0,予算,西日本営業部,山本,7820000,青葉システムズ 統合ダッシュボード導入,
OPP-202412-00212,みなと商事,2024-12-16,2025-03-13,2025-02-27,金融,スマート勤怠,既存深耕,紹介,関東,大企業,6,クロージング,3,失注,0,価格,第一営業部,小林,10700000,みなと商事 スマート勤怠導入,
OPP-202412-00213,さくらケミカル,2024-12-23,2025-05-23,2025-02-22,IT,スマート勤怠,更新,展示会,関東,中堅,6,クロージング,2,受注,100,,第一営業部,加藤,3430000,さくらケミカル スマート勤怠導入,
OPP-202501-00214,山田製作所,2025-01-10,2025-03-23,2025-02-04,流通,統合ダッシュボード,更新,Web,関西,大企業,6,クロージング,3,失注,0,価格,西日本営業部,山本,7330000,山田製作所 統合ダッシュボード導入,
OPP-202501-00215,つばさ運輸,2025-01-03,2025-06-24,2025-03-28,IT,クラウド経費,更新,展示会,九州,中小,6,クロージング,2,受注,100,,第一営業部,小林,1000000,つばさ運輸 クラウド経費導入,
OPP-202501-00216,山田製作所,2025-01-17,2025-03-15,2025-01-24,公共,クラウド経費,既存深耕,紹介,関東,大企業,6,クロージング,2,受注,100,,第一営業部,中村,11040000,山田製作所 クラウド経費導入,
OPP-202501-00217,さくらケミカル,2025-01-10,2025-05-22,2025-04-05,IT,スマート勤怠,既存深耕,Web,関西,大企業,6,クロージング,2,受注,100,,第一営業部,加藤,10070000,さくらケミカル スマート勤怠導入,
OPP-202501-00218,大和精密,2025-01-08,2025-04-06,2025-03-06,IT,スマート勤怠,更新,紹介,関東,中堅,6,クロージング,2,受注,100,,西日本営業部,山本,4960000,大和精密 スマート勤怠導入,
OPP-202501-00219,青葉システムズ,2025-01-27,2025-03-12,2025-02-07,金融,スマート勤怠,既存深耕,インバウンド,関東,中堅,6,クロージング,2,受注,100,,第一営業部,小林,1330000,青葉システムズ スマート勤怠導入,
OPP-202501-00220,北斗フーズ,2025-01-10,2025-06-05,2025-04-13,公共,クラウド経費,既存深耕,展示会,中部,大企業,6,クロージング,2,受注,100,,第一営業部,中村,10210000,北斗フーズ クラウド経費導入,
OPP-202501-00221,富士見物産,2025-01-07,2025-07-06,2025-04-06,流通,クラウド経費,新規,展示会,関東,中堅,6,クロージング,2,受注,100,,第一営業部,小林,1830000,富士見物産 クラウド経費導入,
OPP-202501-00222,みなと商事,2025-01-27,2025-05-05,2025-04-03,製造,スマート勤怠,新規,Web,九州,中小,6,クロージング,3,失注,0,価格,西日本営業部,山本,320000,みなと商事 スマート勤怠導入,
OPP-202501-00223,北斗フーズ,2025-01-16,2025-05-22,2025-03-16,金融,スマート勤怠,新規,Web,関東,中小,6,クロージング,3,失注,0,価格,西日本営業部,松本,1490000,北斗フーズ スマート勤怠導入,
OPP-202501-00224,曙建設,2025-01-10,2025-04-26,2025-03-13,流通,スマート勤怠,既存深耕,Web,中部,中堅,6,クロージング,3,失注,0,価格,西日本営業部,松本,2410000,曙建設 スマート勤怠導入,
OPP-202501-00225,大和精密,2025-01-21,2025-06-03,2025-02-26,金融,統合ダッシュボード,既存深耕,展示会,関西,大企業,6,クロージング,3,失注,0,時期,第一営業部,加藤,9710000,大和精密 統合ダッシュボード導入,
OPP-202501-00226,青葉システムズ,2025-01-16,2025-05-17,2025-05-05,流通,クラウド経費,既存深耕,インバウンド,中部,中堅,6,クロージング,2,受注,100,,西日本営業部,松本,1870000,青葉システムズ クラウド経費導入,
OPP-202501-00227,北斗フーズ,2025-01-27,2025-03-20,2025-02-11,製造,クラウド経費,更新,Web,関西,中小,6,クロージング,2,受注,100,,西日本営業部,松本,1080000,北斗フーズ クラウド経費導入,
OPP-202501-00228,さくらケミカル,2025-01-14,2025-06-13,2025-05-23,製造,スマート勤怠,更新,Web,中部,中堅,6,クロージング,3,失注,0,価格,西日本営業部,山本,4480000,さくらケミカル スマート勤怠導入,
OPP-202501-00229,山田製作所,2025-01-13,2025-05-03,2025-02-06,IT,スマート勤怠,更新,紹介,九州,中小,6,クロージング,3,失注,0,予算,西日本営業部,山本,1540000,山田製作所 スマート勤怠導入,
OPP-202501-00230,山田製作所,2025-01-21,2025-03-25,2025-03-03,製造,スマート勤怠,更新,展示会,中部,中堅,6,クロージング,3,失注,0,競合,西日本営業部,山本,3190000,山田製作所 スマート勤怠導入,
OPP-202501-00231,山田製作所,2025-01-31,2025-05-04,2025-03-17,金融,クラウド経費,更新,インバウンド,中部,中堅,6,クロージング,2,受注,100,,第一営業部,中村,2590000,山田製作所 クラウド経費導入,
OPP-202501-00232,北斗フーズ,2025-01-13,2025-03-18,2025-03-17,製造,スマート勤怠,更新,Web,関西,中堅,6,クロージング,2,受注,100,,第一営業部,加藤,2830000,北斗フーズ スマート勤怠導入,
OPP-202501-00233,青葉システムズ,2025-01-07,2025-02-15,2025-01-24,製造,スマート勤怠,更新,展示会,関東,中堅,6,クロージング,2,受注,100,,第一営業部,加藤,4940000,青葉システムズ スマート勤怠導入,
OPP-202501-00234,みなと商事,2025-01-20,2025-04-12,2025-04-11,金融,スマート勤怠,既存深耕,紹介,関東,中堅,6,クロージング,3,失注,0,価格,第一営業部,中村,3150000,みなと商事 スマート勤怠導入,
OPP-202502-00235,曙建設,2025-02-04,2025-07-11,2025-03-28,金融,スマート勤怠,更新,展示会,関西,大企業,6,クロージング,2,受注,100,,第一営業部,中村,10960000,曙建設 スマート勤怠導入,
OPP-202502-00236,さくらケミカル,2025-02-27,2025-04-01,2025-03-07,公共,スマート勤怠,新規,Web,関東,中小,6,クロージング,3,失注,0,予算,第一営業部,中村,1560000,さくらケミカル スマート勤怠導入,
OPP-202502-00237,湊エレクトロニクス,2025-02-05,2025-04-01,2025-02-08,製造,クラウド経費,更新,Web,関西,中小,6,クロージング,3,失注,0,予算,第一営業部,中村,1220000,湊エレクトロニクス クラウド経費導入,
OPP-202502-00238,みなと商事,2025-02-26,2025-06-04,2025-03-10,製造,クラウド経費,新規,インバウンド,関西,大企業,6,クロージング,3,失注,0,競合,第一営業部,小林,6500000,みなと商事 クラウド経費導入,
OPP-202502-00239,富士見物産,2025-02-06,2025-03-23,2025-02-17,製造,スマート勤怠,更新,Web,関西,中小,6,クロージング,3,失注,0,価格,第一営業部,加藤,1810000,富士見物産 スマート勤怠導入,
OPP-202502-00240,北斗フーズ,2025-02-26,2025-07-30,2025-06-12,金融,クラウド経費,既存深耕,インバウンド,中部,中小,6,クロージング,2,受注,100,,西日本営業部,松本,1420000,北斗フーズ クラウド経費導入,
OPP-202502-00241,山田製作所,2025-02-03,2025-07-15,2025-07-12,公共,クラウド経費,更新,Web,関西,中小,6,クロージング,2,受注,100,,西日本営業部,松本,540000,山田製作所 クラウド経費導入,
OPP-202502-00242,富士見物産,2025-02-14,2025-04-25,2025-04-16,流通,クラウド経費,既存深耕,インバウンド,関西,中小,6,クロージング,2,受注,100,,第一営業部,加藤,1560000,富士見物産 クラウド経費導入,
OPP-202502-00243,富士見物産,2025-02-28,2025-07-25,2025-07-25,製造,スマート勤怠,新規,Web,関西,中堅,6,クロージング,2,受注,100,,西日本営業部,山本,3290000,富士見物産 スマート勤怠導入,
OPP-202502-00244,さくらケミカル,2025-02-03,2025-05-21,2025-04-16,製造,クラウド経費,既存深耕,展示会,関東,中堅,6,クロージング,3,失注,0,価格,第一営業部,中村,4430000,さくらケミカル クラウド経費導入,
OPP-202502-00245,つばさ運輸,2025-02-11,2025-05-08,2025-03-29,IT,スマート勤怠,更新,Web,関西,中堅,6,クロージング,2,受注,100,,第一営業部,中村,4240000,つばさ運輸 スマート勤怠導入,
OPP-202502-00246,さくらケミカル,2025-02-26,2025-05-17,2025-04-18,公共,スマート勤怠,新規,展示会,関西,中小,6,クロージング,2,受注,100,,第一営業部,加藤,850000,さくらケミカル スマート勤怠導入,
OPP-202502-00247,さくらケミカル,2025-02-27,2025-08-26,2025-04-03,製造,スマート勤怠,更新,インバウンド,関西,中小,6,クロージング,3,失注,0,要件不一致,第一営業部,加藤,310000,さくらケミカル スマート勤怠導入,
OPP-202502-00248,青葉システムズ,2025-02-17,2025-04-14,2025-03-28,IT,クラウド経費,既存深耕,インバウンド,関東,中堅,6,クロージング,2,受注,100,,西日本営業部,山本,4100000,青葉システムズ クラウド経費導入,
OPP-202502-00249,青葉システムズ,2025-02-11,2025-04-17,2025-03-22,IT,統合ダッシュボード,更新,紹介,九州,中小,6,クロージング,2,受注,100,,第一営業部,中村,1700000,青葉システムズ 統合ダッシュボード導入,
